category,latitude,longitude
supermarket,26.2182786,50.5642672
supermarket,26.2182904,50.564488
supermarket,26.2165335,50.5636853
supermarket,26.2267328,50.5714301
food,26.2118158,50.5656923
school_all,26.2164859,50.5614531
school_all,26.2175265,50.5618796
school_all,26.2169295,50.5621049
school_all,26.3823798,50.1827712
supermarket,26.3816357,50.1786038
healthcare,26.3819196,50.1782197
supermarket,26.2932161,50.1808592
food,26.2905638,50.1801818
food,26.2900636,50.1812225
school_all,26.2934687,50.1779717
food,26.2363152,50.5395346
supermarket,26.2918355,50.6674407
supermarket,26.2836412,50.6223246
food,26.2837249,50.6222608
food,26.2837985,50.622205
school_all,26.2818554,50.6271562
supermarket,26.2858763,50.6250427
supermarket,26.2843042,50.6209625
food,26.2811325,50.6366985
school_all,26.281664,50.6302068
food,26.2804136,50.6363159
supermarket,26.2845005,50.6238331
supermarket,26.2800514,50.6344009
supermarket,26.2773129,50.6362325
supermarket,26.2763763,50.6539324
supermarket,26.2751913,50.6579643
supermarket,26.2702492,50.6560744
food,26.2726476,50.6502157
supermarket,26.2725208,50.6509812
supermarket,26.2705668,50.6528873
food,26.2744209,50.6466606
food,26.2729623,50.6481362
supermarket,26.2726296,50.653217
supermarket,26.2721063,50.6513071
food,26.2746024,50.6495158
food,26.2739568,50.6523239
supermarket,26.2736702,50.6527039
food,26.2742061,50.6509385
supermarket,26.2722094,50.6543292
food,26.2742272,50.6507758
food,26.2702453,50.6521227
supermarket,26.2646651,50.6560264
food,26.2646702,50.6561363
supermarket,26.2646507,50.6562463
supermarket,26.2500081,50.6539722
healthcare,26.2498357,50.6558568
food,26.2435861,50.6557626
food,26.2472146,50.6540072
food,26.2447861,50.6555204
food,26.2445415,50.6555176
food,26.2501472,50.6539503
supermarket,26.2489713,50.6543467
supermarket,26.2498362,50.6545815
supermarket,26.2498931,50.654084
supermarket,26.2567258,50.6486982
supermarket,26.2429168,50.6553314
food,26.2560556,50.648212
food,26.250036,50.6535373
food,26.2497925,50.6541071
food,26.2495984,50.6543621
supermarket,26.2472188,50.6560463
supermarket,26.2385384,50.6552393
food,26.2370667,50.6562474
food,26.2415054,50.6568081
healthcare,26.2395684,50.6555253
supermarket,26.2437855,50.6555009
food,26.2388254,50.6522575
food,26.2422484,50.653383
school_all,26.2444383,50.6564048
food,26.2415145,50.6552219
supermarket,26.2406562,50.6530869
supermarket,26.2364171,50.6552394
supermarket,26.2394276,50.6552442
supermarket,26.2380222,50.6554311
food,26.2405059,50.6552633
food,26.2248702,50.6333102
supermarket,26.2357278,50.653721
supermarket,26.2409513,50.6552043
food,26.2244476,50.6321544
food,26.2247796,50.6331433
food,26.2400606,50.655272
supermarket,26.2415855,50.6519007
food,26.2402595,50.6525965
supermarket,26.2402512,50.6549638
healthcare,26.2397116,50.651357
supermarket,26.229919,50.6513585
food,26.241881,50.6540094
food,26.2402732,50.6531654
supermarket,26.2535794,50.6457159
school_all,26.250474,50.6447623
