name,category,major,latitude,longitude,address,rating,user_ratings_total,verified,verification_note,place_id
My Little World,mall,False,26.1300763,50.5743074,"16 Shop 260, Building 493, Block 925, Riffa/ Bukowarah, Enma Mall, Second Floor BH، Riffa 973",3.9,16,True,reverse geocode country=BH,ChIJFdB7I0KsST4RSaYuPj23iUk
Oasis Mall - Juffair,mall,False,26.2159999,50.5994838,"Juffair, المنامة",4.3,5999,True,reverse geocode country=BH,ChIJd6a97syoST4Rc7UC4_aigNg
Oasis Mall - Riffa,mall,False,26.1367352,50.5701032,Road No. 3307، East Riffa,4.1,3875,True,reverse geocode country=BH,ChIJpQVAJjmsST4R4S1wghKNogY
Riffa market,mall,False,26.1220076,50.5665282,"Sh Ali Bin Khalifa Ave Bldg 125, Block 905, Riffa Al Shargi, الرفاع،",4.8,10,True,reverse geocode country=BH,ChIJ9w9nsMGtST4RpBO8PokwqLM
Riffa Palms,mall,False,26.1028227,50.5650586,Building 773 Road 4307 Block 943 المزروعية، Al Mazrowiah 943,4.4,51,True,reverse geocode country=BH,ChIJn7PHVeWsST4RFGz1zLWtdAs
Riffa Souq Center,mall,False,26.1224748,50.5662216,"4HG7+FPR, Sh Ali Bin Khalifa Ave, Riffa",4.3,10,True,reverse geocode country=BH,ChIJQRVSuH2tST4Rn4ue_bVKcvM
Riffa Square,mall,False,26.1312772,50.5435792,"432 Rd No 1211, Riffa",4.4,71,True,reverse geocode country=BH,ChIJu8AE3vGtST4RXIYsq_URFVE
RIFFA VILLAGE,mall,False,26.1133704,50.576228,"Rd No 977, Riffa",4.2,360,True,reverse geocode country=BH,ChIJr_VELousST4RNJrZR6vf-sc
Saar Mall,mall,False,26.200426,50.498048,"MAFIA AFC Building, 133 Road 25, سار",4.2,4704,True,reverse geocode country=BH,ChIJB8_qBw6wST4RtCZyudn8q3E
Sitra Mall,mall,False,26.1694515,50.6011508,"5J92+QFJ, Sitra",3.6,3246,True,reverse geocode country=BH,ChIJSfhQ-lOpST4RBlTWIFIvHrw
The Atrium Mall Bahrain,mall,False,26.1764197,50.4839057,Janabiyah,4.2,3790,True,reverse geocode country=BH,ChIJt8M7Q0WwST4RzWnYpsPu3t8
The View,mall,False,26.1463401,50.5664977,4HW8+JR3، 1227 Road 3721، Riffa,4.2,73,True,reverse geocode country=BH,ChIJ0ZwkHxGtST4RwFle4j_RIOU
The Walk,mall,False,26.1369781,50.558445,"Mashtan Road, الرفاع 915",3.9,1097,True,reverse geocode country=BH,ChIJs805wDOsST4Rl4m0hQQBgkc
Wadi Al Sail Mall,mall,False,26.1373907,50.5194423,"Wali Al Ahd Hwy, Riffa",4,3422,True,reverse geocode country=BH,ChIJGaN09f2tST4RMAUNSmu-w7E
