iter	MAE
233	0.1321157631
234	0.1319568003
235	0.1318346345
236	0.1316893927
237	0.1315714269
238	0.131456175
239	0.1313603225
240	0.13123377
241	0.1310979547
242	0.130987445
243	0.1308892557
244	0.1307659424
245	0.1306412752
246	0.1305117229
247	0.1303899545
248	0.1302951064
249	0.1301975679
250	0.130098963
251	0.1300447695
252	0.1299435955
253	0.1298839067
254	0.1297911725
255	0.129736196
256	0.1295927861
257	0.1295114745
258	0.1293843154
259	0.1292943877
260	0.1291653312
261	0.1290185554
262	0.1289280948
263	0.128885988
264	0.1287230994
265	0.1286584349
266	0.1285369272
267	0.1284116711
268	0.1283471004
269	0.1282332777
270	0.1281846833
271	0.1280945717
272	0.1279827899
273	0.127878879
274	0.127738949
275	0.1276806468
276	0.1275657424
277	0.1274836159
278	0.1273714754
279	0.1273005214
280	0.1271635849
281	0.1270034341
282	0.1268721386
283	0.1267824238
284	0.1266878053
285	0.1265703335
286	0.1264825224
287	0.126352003
288	0.1262467229
289	0.1261235892
290	0.1260849591
291	0.12604182
292	0.1259504688
293	0.1258437771
294	0.1257518591
295	0.1255831085
296	0.1254657531
297	0.1253457445
298	0.1252805039
299	0.1251649434
300	0.1250358547
301	0.1249676069
302	0.1248917823
303	0.1247981997
304	0.1247114573
305	0.1245833547
306	0.1245172166
307	0.1243927085
308	0.1242780993
309	0.1241701038
310	0.1240958788
311	0.1240311954
312	0.1239541326
313	0.1238640507
314	0.123799162
315	0.1236778854
316	0.1235145592
317	0.1234183824
318	0.1233146122
319	0.1231906127
320	0.1230981682
321	0.1229895784
322	0.1228846465
323	0.1227443505
324	0.1226471212
325	0.1225866623
326	0.1225134055
327	0.1224018269
328	0.1223471585
329	0.1222280954
330	0.1221293074
331	0.122015243
332	0.1219330924
333	0.1218763741
334	0.1217440151
335	0.1216535452
336	0.1216094557
337	0.121509619
338	0.1214351944
339	0.1213747463
340	0.1213338607
341	0.1212394087
342	0.1211558434
343	0.1210330949
344	0.12093211
345	0.1208828314
346	0.120838951
347	0.1207596959
348	0.1206372658
349	0.1205353182
350	0.1204291612
351	0.12035378
352	0.1202367279
353	0.1201757387
354	0.1201198415
355	0.1200318466
356	0.1199310348
357	0.1198667763
358	0.1198050837
359	0.1197490349
360	0.1196433265
361	0.1194781105
362	0.1194253563
363	0.1193143556
364	0.1192569179
365	0.1191907277
366	0.119109232
367	0.1190681427
368	0.1189957323
369	0.1189250818
370	0.1187660092
371	0.1187033803
372	0.1185830917
373	0.1185171348
374	0.1184754628
375	0.1183883118
376	0.1183345445
377	0.1182448484
378	0.1181279149
379	0.1180329466
380	0.1179609751
381	0.1178997886
382	0.1178056041
383	0.117709888
384	0.1176491536
385	0.1175777347
386	0.1175345639
387	0.1174381375
388	0.1173611009
389	0.1172892809
390	0.1172398975
391	0.1171609586
392	0.1170865653
393	0.1170359579
394	0.1169883272
395	0.1168962066
396	0.1168475876
397	0.1167656668
398	0.116696452
399	0.1165989419
400	0.1165269828
401	0.1164121606
402	0.1163658408
403	0.1162797151
404	0.1161827103
405	0.1161059267
406	0.1160038719
407	0.1159415684
408	0.1158874915
409	0.1158443296
410	0.1157304218
411	0.1156615672
412	0.1156045734
413	0.1155378098
414	0.1154738843
415	0.1153976315
416	0.1153392174
417	0.1152543669
418	0.1152058125
419	0.1151185962
420	0.1150227497
421	0.1149453972
422	0.1148758343
423	0.1148128896
424	0.1147679539
425	0.1146771567
426	0.1145888541
427	0.1144891814
428	0.1144106152
429	0.1143239459
430	0.1142309165
431	0.1141639083
432	0.1141223191
433	0.114090131
434	0.1140159605
435	0.1139439844
436	0.1138664878
437	0.1137598752
438	0.1137254295
439	0.1136889186
440	0.1136263461
441	0.1135294248
442	0.1134656716
443	0.1134088447
444	0.1133805811
445	0.1132989744
446	0.1132503178
447	0.1131699134
448	0.1130785729
449	0.1129964293
450	0.1129151229
451	0.1128268838
452	0.1127474278
453	0.1126971245
454	0.1126448368
455	0.1125961208
456	0.1125578942
457	0.112502777
458	0.112439978
459	0.1123905835
460	0.1123010266
461	0.1122199104
462	0.1121651486
463	0.1120901955
464	0.1120566188
465	0.1119795975
466	0.1119330229
467	0.1118957481
468	0.1118146222
469	0.1117403878
470	0.111713745
471	0.1116791113
472	0.1115863221
473	0.1115481759
474	0.1114980734
475	0.1114479985
476	0.111350823
477	0.1112695785
478	0.1111713911
479	0.1111170791
480	0.111060569
481	0.1109146691
482	0.1108224251
483	0.1107492334
484	0.1107304245
485	0.110688792
486	0.110642683
487	0.1105922135
488	0.1105470594
489	0.1103985035
490	0.1103546288
491	0.1102763651
492	0.1102075152
493	0.1100966516
494	0.1100095304
495	0.1099092858
496	0.1098460088
497	0.1097870727
498	0.1096974917
499	0.1096336964
500	0.109573228
501	0.1095341106
502	0.1094691866
503	0.1093863323
504	0.1092749769
505	0.1092143067
506	0.1091247162
507	0.1090725283
508	0.1090337673
509	0.1089751804
510	0.1088828045
511	0.1088198313
512	0.10877186
513	0.1087346976
514	0.1086887048
515	0.1086387104
516	0.1086000856
517	0.1085434426
518	0.1084901066
519	0.1084132291
520	0.1083464381
521	0.10824621
522	0.1081966092
523	0.1081262998
524	0.108083403
525	0.1080428194
526	0.107999085
527	0.1079155097
528	0.1078207052
529	0.107769218
530	0.1076645903
531	0.1075688121
532	0.1075441005
533	0.1075236764
534	0.1074545847
535	0.1073722646
536	0.1072815501
537	0.1072240795
538	0.1071519321
539	0.1071190058
540	0.1070616643
541	0.1069729026
542	0.1069167548
543	0.1068420391
544	0.1067771046
545	0.1067556494
546	0.1067217141
547	0.106668209
548	0.1065570516
549	0.1065082625
550	0.1064399493
551	0.1064064709
552	0.1063700601
553	0.1063150394
554	0.1062501335
555	0.1061944985
556	0.1061135554
557	0.1060837889
558	0.1060433342
559	0.1059481702
560	0.105872492
561	0.1058137359
562	0.1057664952
563	0.1056702237
564	0.1056294679
565	0.1055755095
566	0.105487458
567	0.1054309493
568	0.1053987648
569	0.1053445806
570	0.1052986242
571	0.1052216908
572	0.1051550814
573	0.1051025895
574	0.1050607242
575	0.1050147618
576	0.1049610382
577	0.1048956525
578	0.104823946
579	0.104756152
580	0.1047086977
581	0.1046213013
582	0.104596539
583	0.1045531049
584	0.1045025162
585	0.1044391282
586	0.1043664452
587	0.1042890766
588	0.1042474398
589	0.1042062606
590	0.1041435468
591	0.1040947928
592	0.1040436166
593	0.103997539
594	0.1039373575
595	0.103864023
596	0.103826398
597	0.1037663661
598	0.1037015128
599	0.1036660933
600	0.1035778149
601	0.1035414527
602	0.1034858177
603	0.1034180456
604	0.1033623797
605	0.1033162461
606	0.1032328866
607	0.103153107
608	0.1031006025
609	0.103066573
610	0.1030177556
611	0.1029782115
612	0.1029106028
613	0.1028508608
614	0.1028076433
615	0.1027586386
616	0.102700637
617	0.1026096784
618	0.1025393602
619	0.1024399744
620	0.1023844836
621	0.1023395594
622	0.1023001507
623	0.1022360843
624	0.1021821761
625	0.1021246989
626	0.1021101481
627	0.1020270425
628	0.1019889627
629	0.1019438985
630	0.101916051
631	0.1018772421
632	0.1018212313
633	0.1017546988
634	0.1017220662
635	0.1016612731
636	0.1016368086
637	0.1015997819
638	0.1015506483
639	0.1015160565
640	0.1014587435
641	0.1014086827
642	0.1013766759
643	0.1013127709
644	0.101265117
645	0.1011914014
646	0.1010852116
647	0.1010242793
648	0.1009892844
649	0.100929
650	0.1008706092
651	0.1008186829
652	0.1007560089
653	0.1006877834
654	0.1006350555
655	0.1005969749
656	0.1005580992
657	0.100507547
658	0.1004559632
659	0.1004130947
660	0.100346364
661	0.1002869379
662	0.1002406637
663	0.1001809175
664	0.1001432769
665	0.1000990508
666	0.1000538435
667	0.09999599761
668	0.09995536725
669	0.09993062442
670	0.09983555091
671	0.09976344432
672	0.09970525634
673	0.09965895479
674	0.09963931795
675	0.09958173912
676	0.0995485662
677	0.09951464337
678	0.09944620816
679	0.0993959236
680	0.09932192303
681	0.09927551206
682	0.09919653353
683	0.09914210394
684	0.09908672627
685	0.09902012959
686	0.09897309884
687	0.09894622884
688	0.09888371648
689	0.09882823127
690	0.09876016866
691	0.09870869513
692	0.0986784235
693	0.098623615
694	0.09858352826
695	0.09855122714
696	0.09849034869
697	0.0984170046
698	0.09837609941
699	0.09833667845
700	0.09826681551
701	0.0981980225
702	0.09814611418
703	0.09810902262
704	0.09804448796
705	0.09798012798
706	0.09793916182
707	0.0978935756
708	0.09785556545
709	0.09782151395
710	0.09777869003
711	0.09773378062
712	0.0976675994
713	0.09761148323
714	0.09758151968
715	0.09752455697
716	0.09748533963
717	0.09743996719
718	0.09740949929
719	0.09737231941
720	0.09733020269
721	0.09727641559
722	0.09721665469
723	0.09717920888
724	0.09709775498
725	0.09703194828
726	0.0969733499
727	0.0968916574
728	0.09682563955
729	0.09681437751
730	0.09676984097
731	0.09673747569
732	0.09671548043
733	0.09667478287
734	0.096637847
735	0.096566922
736	0.09650820479
737	0.0964656618
738	0.09640227869
739	0.09637771628
740	0.09634845291
741	0.09631332069
742	0.09628278046
743	0.0962627948
744	0.09621669387
745	0.09619013301
746	0.09616520874
747	0.09612312319
748	0.09611668143
749	0.09606616855
750	0.09604710747
751	0.0960093797
752	0.09600285336
753	0.09595030409
754	0.0958854282
755	0.09583714473
756	0.09578142801
757	0.09570033478
758	0.09563781526
759	0.0955759945
760	0.09551574431
761	0.09548992437
762	0.09542366319
763	0.09537572666
764	0.09530344618
765	0.09524735143
766	0.09521587405
767	0.09517517261
768	0.09510763206
769	0.09507934914
770	0.09503327643
771	0.09498167137
772	0.09493801764
773	0.09490690976
774	0.09486831902
775	0.09483926161
776	0.09479313537
777	0.09475285135
778	0.09468004807
779	0.09462043951
780	0.09456369791
781	0.09451563887
782	0.09447135619
783	0.09443749594
784	0.09441381546
785	0.0943732273
786	0.09434022361
787	0.09431258973
788	0.09428210804
789	0.09421645678
790	0.09417563755
791	0.09411448107
792	0.09409238419
793	0.094043972
794	0.0940059864
795	0.09398418878
796	0.0939442295
797	0.093894617
798	0.0938389298
799	0.09378649068
800	0.09375720327
801	0.09373278792
802	0.0936799065
803	0.09365936352
804	0.0936424815
805	0.09359169429
806	0.09355859668
807	0.09352741749
808	0.09349435562
809	0.09348604483
810	0.09344836865
811	0.09343105991
812	0.09336261473
813	0.09332400972
814	0.09329001561
815	0.09326376796
816	0.09322495844
817	0.09317603924
818	0.09314498611
819	0.09310956169
820	0.09308492528
821	0.09304565585
822	0.09299832813
823	0.09297226092
824	0.09293894957
825	0.09290972237
826	0.09286197918
827	0.09278045293
828	0.09274044468
829	0.09267756483
830	0.09266121669
831	0.09263027285
832	0.09258702606
833	0.09255372667
834	0.09250332975
835	0.09245660297
836	0.09242901834
837	0.09236543802
838	0.09233654166
839	0.09227076104
840	0.09222712884
841	0.09217980052
842	0.09215974887
843	0.09211652228
844	0.09206301051
845	0.09202376807
846	0.09199001263
847	0.09195385748
848	0.09193559838
849	0.09189033172
850	0.0918438644
851	0.09180060206
852	0.091784867
853	0.09176899667
854	0.09169406108
855	0.09161910881
856	0.0915750227
857	0.09155037174
858	0.09151697448
859	0.09145402272
860	0.09141731829
861	0.09139066117
862	0.09131063907
863	0.09129082662
864	0.0912521614
865	0.09120621109
866	0.09116755673
867	0.09113933267
868	0.09108586257
869	0.09105362408
870	0.09100264553
871	0.09097051
872	0.0909386396
873	0.09091297844
874	0.090872669
875	0.09084660103
876	0.09079924675
877	0.09075649639
878	0.09072528209
879	0.09069577733
880	0.09067720845
881	0.09064978519
882	0.09062272753
883	0.09056422631
884	0.09053887227
885	0.09050269343
886	0.09046101214
887	0.09042423471
888	0.09038310758
889	0.09033071686
890	0.09029906464
891	0.09024608463
892	0.09020721761
893	0.09014372901
894	0.0900928387
895	0.09004116442
896	0.0900150072
897	0.08996049817
898	0.08992617567
899	0.08988050118
900	0.08985094703
901	0.08982483831
902	0.08980243346
903	0.08978226631
904	0.08973152364
905	0.08968713493
906	0.08965752011
907	0.08962705932
908	0.08959898479
909	0.08956290351
910	0.08955345321
911	0.08951077813
912	0.08949502407
913	0.08947169914
914	0.08945551339
915	0.08943170094
916	0.08939861468
917	0.08937603676
918	0.08934904358
919	0.08932272271
920	0.08926892387
921	0.08924090241
922	0.08920073166
923	0.08917105047
924	0.08914378583
925	0.08911947321
926	0.08909819014
927	0.08905280355
928	0.08903009273
929	0.08899082072
930	0.08895968383
931	0.08891469209
932	0.08887024256
933	0.08882794466
934	0.08876830077
935	0.08870945255
936	0.08865045438
937	0.08859034666
938	0.08854931545
939	0.08853427154
940	0.08851335692
941	0.08847174614
942	0.0884298431
943	0.0884028271
944	0.08835508244
945	0.08831789049
946	0.08830062167
947	0.08828025164
948	0.08824384718
949	0.08819559397
950	0.08818033989
951	0.08816568479
952	0.08813641029
953	0.0881159936
954	0.08807259388
955	0.08805142378
956	0.08801255098
957	0.08797513974
958	0.08792926653
959	0.08790515687
960	0.0878788313
961	0.08781971023
962	0.08778733305
963	0.08776760767
964	0.08774658865
965	0.08770632656
966	0.08765023613
967	0.08762101246
968	0.08760753351
969	0.0875729062
970	0.08752457388
971	0.08749496357
972	0.08746850111
973	0.08744978274
974	0.0874287114
975	0.08741237553
976	0.08736088616
977	0.08732706205
978	0.08729706299
979	0.08728401986
980	0.08723765481
981	0.08721600401
982	0.08718019251
983	0.08715093402
984	0.08712381886
985	0.08707713091
986	0.08705173937
987	0.08702732128
988	0.08701062738
989	0.08698281135
990	0.08693920899
991	0.08689085023
992	0.08684846615
993	0.08683564774
994	0.08680863892
995	0.08677459473
996	0.08673729544
997	0.08673072934
998	0.08670093011
999	0.08668508748
1000	0.08667544663
1001	0.08664929939
1002	0.08662488648
1003	0.08660820843
1004	0.08658662556
1005	0.08657413283
1006	0.08655224532
1007	0.08651421138
1008	0.08648938015
1009	0.0864672311
1010	0.08643856779
1011	0.08640238956
1012	0.0863562013
1013	0.08631697931
1014	0.08629378508
1015	0.08626194274
1016	0.08621492711
1017	0.08618267704
1018	0.08614104548
1019	0.08607613532
1020	0.08603344271
1021	0.08599024359
1022	0.08597153462
1023	0.085953686
1024	0.08591755376
1025	0.08588741781
1026	0.08582875948
1027	0.08580189165
1028	0.08578208827
1029	0.08574016638
1030	0.0857093164
1031	0.08566514127
1032	0.08564490365
1033	0.08560172887
1034	0.08556782574
1035	0.08553236083
1036	0.08549620146
1037	0.08548486671
1038	0.08545378022
1039	0.08539138691
1040	0.08535297272
1041	0.08533215955
1042	0.08530060591
1043	0.08526283819
1044	0.08522801229
1045	0.08521533061
1046	0.08518403759
1047	0.08516308176
1048	0.08513342953
1049	0.08509420781
1050	0.08508325238
1051	0.08504450809
1052	0.085003176
1053	0.08498891669
1054	0.08495033496
1055	0.08490656042
1056	0.08486553942
1057	0.08483898401
1058	0.08481480556
1059	0.08478602147
1060	0.0847486566
1061	0.08471938502
1062	0.0846790439
1063	0.08466620344
1064	0.08462088781
1065	0.08460678796
1066	0.0845620637
1067	0.08452797778
1068	0.08450591887
1069	0.08446359159
1070	0.08442274249
1071	0.08438131185
1072	0.08435774692
1073	0.08432222884
1074	0.08430509127
1075	0.08428330327
1076	0.08424965631
1077	0.08424497145
1078	0.0842132015
1079	0.0841897893
1080	0.08417085352
1081	0.08414557463
1082	0.08412058505
1083	0.08409653381
1084	0.0840797793
1085	0.08405118844
1086	0.08400555689
1087	0.08399483702
1088	0.08395975898
1089	0.08393752435
1090	0.08391854205
1091	0.08388972417
1092	0.08388087996
1093	0.08385827681
1094	0.08382047412
1095	0.08379928017
1096	0.08378012382
1097	0.0837468903
1098	0.08373221444
1099	0.08370656038
1100	0.08368267622
1101	0.08364020125
1102	0.08362573578
1103	0.08359821286
1104	0.0835663009
1105	0.08354572415
1106	0.08353136021
1107	0.08350884408
1108	0.08347062286
1109	0.08343467908
1110	0.08342110146
1111	0.08338503201
1112	0.08336690265
1113	0.08332941938
1114	0.08328710903
1115	0.08327141315
1116	0.08324363745
1117	0.08322180211
1118	0.08320875522
1119	0.08318145279
1120	0.08311942544
1121	0.08308597907
1122	0.0830417852
1123	0.08300236068
1124	0.08295799235
1125	0.08293773356
1126	0.08291826065
1127	0.08288753277
1128	0.08285158111
1129	0.08283390666
1130	0.0828255502
1131	0.08280729206
1132	0.08278357285
1133	0.08273409923
1134	0.08271430199
1135	0.08268083037
1136	0.08265308882
1137	0.08264128795
1138	0.08262393586
1139	0.08260251166
1140	0.08257874726
1141	0.082545027
1142	0.08253037585
1143	0.08250261756
1144	0.08248808205
1145	0.08246076659
1146	0.08245286273
1147	0.08243122075
1148	0.08240787215
1149	0.08237953187
1150	0.08236318674
1151	0.08234598986
1152	0.08229857056
1153	0.08227500788
1154	0.08223431674
1155	0.08221062431
1156	0.08218884538
1157	0.08217279349
1158	0.08215087334
1159	0.08212048658
1160	0.08210726756
1161	0.08209619271
1162	0.08206351937
1163	0.08205876795
1164	0.08203444491
1165	0.08200551836
1166	0.08198407677
1167	0.08196250185
1168	0.08190943717
1169	0.08186859699
1170	0.08180966831
1171	0.08176996815
1172	0.08172797208
1173	0.08168901057
1174	0.08165986745
1175	0.08164182726
1176	0.0816170148
1177	0.08159762527
1178	0.08158090287
1179	0.0815617507
1180	0.08152518541
1181	0.08149242574
1182	0.08147769977
1183	0.08145596687
1184	0.08143895296
1185	0.08141986223
1186	0.08139224539
1187	0.08138679821
1188	0.08134445777
1189	0.08130552798
1190	0.0812798712
1191	0.08124054344
1192	0.0812035939
1193	0.08117059255
1194	0.0811539358
1195	0.08111925366
1196	0.08109285622
1197	0.08106685762
1198	0.08104938076
1199	0.08100449513
1200	0.0809914178
1201	0.08097815247
1202	0.08095248026
1203	0.08092989884
1204	0.08090335737
1205	0.08086093428
1206	0.08082953729
1207	0.08080549826
1208	0.08079948388
1209	0.08078029988
1210	0.08076270184
1211	0.08070605781
1212	0.08069026582
1213	0.08067217493
1214	0.08066377053
1215	0.08062837267
1216	0.08058663604
1217	0.08055278802
1218	0.08054248231
1219	0.0805254308
1220	0.08050495769
1221	0.08044329373
1222	0.08043560497
1223	0.08038871266
1224	0.08035881045
1225	0.08032519363
1226	0.08030186855
1227	0.08026622232
1228	0.08024221478
1229	0.08020688556
1230	0.08018704912
1231	0.08014433442
1232	0.08012213272
1233	0.08008625399
1234	0.08007854374
1235	0.08005076523
1236	0.08003278007
1237	0.07999616771
1238	0.07996778565
1239	0.07993775444
1240	0.07991635932
1241	0.07987868473
1242	0.07984727517
1243	0.07982749855
1244	0.07979674642
1245	0.07975174173
1246	0.07972635283
1247	0.07969916029
1248	0.07967378537
1249	0.07965358058
1250	0.0796262458
1251	0.07961065071
1252	0.07959795198
1253	0.07958753625
1254	0.0795778102
1255	0.07955012505
1256	0.07952440626
1257	0.0795132186
1258	0.07945690102
1259	0.07943087587
1260	0.07940510081
1261	0.07937487839
1262	0.07934157898
1263	0.07930208798
1264	0.07928160251
1265	0.07925130911
1266	0.07924382376
1267	0.07921100426
1268	0.07919247879
1269	0.07917272043
1270	0.0791471378
1271	0.07911284188
1272	0.07909543824
1273	0.07908375259
1274	0.07906824852
1275	0.07903659668
1276	0.07900704283
1277	0.07897949192
1278	0.07894740236
1279	0.07893087334
1280	0.07889472391
1281	0.07884835807
1282	0.0788355629
1283	0.07879772658
1284	0.07877237651
1285	0.07873718131
1286	0.07869574696
1287	0.07865350686
1288	0.0786175292
1289	0.07859600907
1290	0.07858094101
1291	0.07856894866
1292	0.07854954681
1293	0.07851290857
1294	0.07846985929
1295	0.07844356346
1296	0.0784325155
1297	0.07841184233
1298	0.07839077452
1299	0.07838318793
1300	0.07836782593
1301	0.07835232161
1302	0.07832242587
1303	0.07831655423
1304	0.07830226853
1305	0.07829015895
1306	0.07827074979
1307	0.07826197792
1308	0.07824189104
1309	0.07823227292
1310	0.07820912538
1311	0.07817492041
1312	0.0781614206
1313	0.07812645425
1314	0.07811232532
1315	0.07809865628
1316	0.07808016753
1317	0.07805029674
1318	0.07801021854
1319	0.07797689139
1320	0.07796783209
1321	0.07794892305
1322	0.07792123878
1323	0.07789924887
1324	0.0778839661
1325	0.0778462465
1326	0.07782449684
1327	0.07780681325
1328	0.07777134383
1329	0.07774951129
1330	0.07772840109
1331	0.07771933205
1332	0.07769693303
1333	0.07767529222
1334	0.07763581708
1335	0.07762447006
1336	0.07760339149
1337	0.07757992912
1338	0.07754188501
1339	0.07752826052
1340	0.07751894141
1341	0.07749034117
1342	0.07747323801
1343	0.07745876091
1344	0.07744185639
1345	0.07741469888
1346	0.07738816715
1347	0.07735954157
1348	0.07731948247
1349	0.07728858941
1350	0.0772667307
1351	0.07722680776
1352	0.07720579475
1353	0.07718746801
1354	0.07716501454
1355	0.07713398792
1356	0.07711554962
1357	0.07710531534
1358	0.07706073102
1359	0.07703845264
1360	0.07702415301
1361	0.07700135574
1362	0.0769873078
1363	0.07694822671
1364	0.07694473183
1365	0.07692828805
1366	0.07690505303
1367	0.07687235146
1368	0.07684440685
1369	0.07682211457
1370	0.07680606181
1371	0.07678246842
1372	0.07677030549
1373	0.07676182316
1374	0.07674041763
1375	0.07672418861
1376	0.07669580219
1377	0.07667409611
1378	0.07665062423
1379	0.07662676239
1380	0.07659302904
1381	0.07657124709
1382	0.07655211789
1383	0.07650940085
1384	0.07648419994
1385	0.07646613452
1386	0.07645575067
1387	0.0764285475
1388	0.0764096154
1389	0.0764044534
1390	0.07637981531
1391	0.07635897308
1392	0.07634597829
1393	0.07629796939
1394	0.07624867276
1395	0.07621333079
1396	0.07619529961
1397	0.07617255436
1398	0.07616692854
1399	0.07611804599
1400	0.07611005146
1401	0.07608871998
1402	0.07606447279
1403	0.07603335353
1404	0.07602904687
1405	0.07601934608
1406	0.07599081522
1407	0.07597180168
1408	0.07594953009
1409	0.07592196077
1410	0.07590181673
1411	0.07588855872
1412	0.07585678088
1413	0.07584447492
1414	0.07581399109
1415	0.07579662331
1416	0.07578340205
1417	0.07576663219
1418	0.07574067117
1419	0.07571786827
1420	0.07570097453
1421	0.07568240648
1422	0.07566791507
1423	0.07564425331
1424	0.07562101599
1425	0.07559414065
1426	0.07557938917
1427	0.07556499241
1428	0.07555352276
1429	0.07551242898
1430	0.07550204918
1431	0.07548590627
1432	0.07547244254
1433	0.07544276285
1434	0.07542585169
1435	0.07540736756
1436	0.07539228379
1437	0.07537500936
1438	0.07536286898
1439	0.07534673312
1440	0.07532038846
1441	0.07530751135
1442	0.07529049212
1443	0.07526920961
1444	0.07525006744
1445	0.07522864631
1446	0.07520181153
1447	0.07519581151
1448	0.07517461235
1449	0.07516212644
1450	0.07514269174
1451	0.07512706298
1452	0.07510565084
1453	0.07509068761
1454	0.07507254708
1455	0.07506156801
1456	0.07500901875
1457	0.07498185613
1458	0.07496384411
1459	0.07495508796
1460	0.07492325089
1461	0.07490957824
1462	0.07489394445
1463	0.0748845209
1464	0.07486467149
1465	0.07485404106
1466	0.074839724
1467	0.0748088168
1468	0.07479093359
1469	0.07477065632
1470	0.07475150929
1471	0.07472741525
1472	0.07470943982
1473	0.07468596985
1474	0.07466472059
1475	0.07465069786
1476	0.07462387602
1477	0.0745905091
1478	0.07456744028
1479	0.07455371352
1480	0.07453816271
1481	0.07451305861
1482	0.07450041139
1483	0.07449076715
1484	0.07446879809
1485	0.07444844315
1486	0.07441375601
1487	0.07440789933
1488	0.0743985828
1489	0.07439034373
1490	0.07436746903
1491	0.07436081943
1492	0.0743401177
1493	0.07432517
1494	0.07430421074
1495	0.07428526947
1496	0.07426406038
1497	0.07424597836
1498	0.07423465727
1499	0.07423036334
1500	0.07421020525
1501	0.07420499089
1502	0.07415833375
1503	0.07413040596
1504	0.07411973228
1505	0.07411100417
1506	0.07408398137
